innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost,overturned_decisions,ratio_overturned,team,bowler
India 1st innings,61.3,"Roach to Hanuma Vihari, leg byes, 1 run, horrible review from Roach. West Indies have lost both their reviews now. Angled in and Vihari falls over as he misses the flick, struck him around leg-stump and the angle was taking it further down. Holder gestured it was going down but Roach was adamant that it was close",5,"Over 61.3: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - GH Vihari (Struck down)",West Indies (Bowling),GH Vihari,PR Reiffel,Struck down,False,8.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,False,True,2,0.2222222222222222,West Indies,Roach
India 1st innings,20.3,"Cornwall to Kohli, no run, a huge lbw appeal and it's been turned down! West Indies have decided to challenge the onfield call, after all it's the Indian skipper. This looks close but it could be probably spinning down the leg side. Huge amount of spin and Kohli gets beaten due to the same on his flick. Nothing on UltraEdge, the impact is in line and it's missing the leg stump by a huge margin. Could have probably hit the sixth stump, if there was one. So, West Indies have lost one review and Kohli still has the chance to open his account",3,"Over 20.3: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - V Kohli (Struck down)",West Indies (Bowling),V Kohli,RA Kettleborough,Struck down,False,0.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,2,0.2222222222222222,West Indies,Cornwall
India 2nd innings,27.4,"Cornwall to Rahane, no run, reviewed for the sake of it. Cornwall was not convinced. He didn't even appeal but Hamilton was and Holder went with his keeper's word. Rahane jumps out of the crease and is defeated by the turn in, beaten on the inside edge and the ball pops up off the flap of the pad, Hamilton hangs on to the ball and goes up immediately",4,"Over 27.4: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - AM Rahane (Struck down)",West Indies (Bowling),AM Rahane,PR Reiffel,Struck down,False,6.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,2,0.2222222222222222,West Indies,Cornwall
West Indies 2nd innings,22.5,"Ishant to Roston Chase, no run, that's hooped back in at Chase who's clearly staggered. He was prepared to leave it, saw it bend in sharply and made a belated, albeit unsuccessful attempt to keep it from hitting the front pad. Huge shout from India. Umpire Kettleborough says no. Not much hesitation from Kohli in going for the review, but ball-tracking has it going over the stumps. Even the impact was umpire's call on off stump",3,"Over 22.5: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - RL Chase (Struck down)",India (Bowling),RL Chase,RA Kettleborough,Struck down,False,3.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,2,0.2222222222222222,India,Ishant
West Indies 1st innings,44.2,"Ishant to Roach, no run, another sharp bouncer outside off, good carry on it, Roach tries to fend it away, but gets beaten due to the bounce. Pant was up in a caught behind appeal and the Indians have used up a review too. But replays show there was daylight when the ball whizzed past his gloves. India have lost one review - one remaining",9,"Over 44.2: Review by India (Bowling), Umpire - PR Reiffel, Batsman - KAJ Roach (Struck down)",India (Bowling),KAJ Roach,PR Reiffel,Struck down,False,1.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,2,0.2222222222222222,India,Ishant
West Indies 2nd innings,15.5,"Bumrah to Roach, no run, loud shout for LBW and India have decided to review. was it swinging down leg? Was it high? It's a fair delivery and it has hit Roach above the knee-roll, almost around the flap of the pad, no bat and UltraEdge confirms it, sliding past leg-stump and India lose a review. An optimistic review from India, but you wouldn't blamce them too much. On a good length and kept coming with the angle, Roach was pushing forward in defence and is beaten on the inside edge, struck him in front of leg and that was always sliding down",8,"Over 15.5: Review by India (Bowling), Umpire - RJ Tucker, Batsman - KAJ Roach (Struck down)",India (Bowling),KAJ Roach,RJ Tucker,Struck down,False,7.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,False,True,False,True,4,0.36363636363636365,India,Bumrah
West Indies 2nd innings,15.4,"Bumrah to Roach, no run, fuller length delivery and holding its line outside off, Roach covers the line, lifts his bat and lets it go",8,"Over 15.4: Review by India (Bowling), Umpire - RJ Tucker, Batsman - KAJ Roach (Struck down)",India (Bowling),KAJ Roach,RJ Tucker,Struck down,False,3.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,4,0.36363636363636365,India,Bumrah
India 2nd innings,44.2,"Roach to Rahane, no run, loud shout for LBW and West Indies will review. Rahane was shuffling a long way across, but was the angle taking the ball down leg? Looks like no bat on that and UltraEdge confirms it. The impact is in front of leg and is sliding down leg, poor review from West Indies. Looked like going down to the naked eye and Hawk-Eye confirmed it, full and angling into Rahane's pads, he was looking to flick and missed",4,"Over 44.2: Review by West Indies (Bowling), Umpire - RJ Tucker, Batsman - AM Rahane (Struck down)",West Indies (Bowling),AM Rahane,RJ Tucker,Struck down,False,2.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,4,0.36363636363636365,West Indies,Roach
West Indies 1st innings,73.2,"Shami to Gabriel, no run, An lbw appeal against Gabriel and umpire Richard Kettleborough is unmoved. An in-angler at 139kph and Gabriel is late on the glance. The impact is outside leg and that's going further down. India lose a review",10,"Over 73.2: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - ST Gabriel (Struck down)",India (Bowling),ST Gabriel,RA Kettleborough,Struck down,False,10.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False,4,0.36363636363636365,India,Shami
Sri Lanka 2nd innings,44.6,"Boult to Dilruwan Perera, no run, another review for an lbw - this time the original decision is not out and Kane has decided to go upstairs. This looks like it pitched outside leg, hence the batsman might get away with it. Was a toe-crushing yorker by Boult and the batsman was in no postion to play it. Dilruwan Perera tried his best to squeeze it out but the jaffa was too good for him. Had it pitched in line, this could have been plumb. A game of fine margins, isn't it? Meanwhile, the batsman getting some treatment as he seems to be rattled by the impact. Good decision, nevertheless..",7,"Over 44.6: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - MDK Perera (Struck down)",New Zealand (Bowling),MDK Perera,MA Gough,Struck down,False,7.0,False,sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,True,False,1,0.2,New Zealand,Boult
Sri Lanka 2nd innings,79.4,"Somerville to Kusal Perera, no run, Perera tries the reverse sweep and misses, impact outside off stump on the back thigh, KW took the chance with the review and ended up duming on",4,"Over 79.4: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - MDKJ Perera (Struck down)",New Zealand (Bowling),MDKJ Perera,MA Gough,Struck down,False,11.0,False,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,True,False,4,0.2857142857142857,New Zealand,Somerville
